"","time","country","province","cum_confirm","cum_heal","cum_dead","suspected"
"1",2019-12-01,"中国","湖北",1,0,0,0
"2",2019-12-02,"中国","湖北",1,0,0,0
"3",2019-12-03,"中国","湖北",1,0,0,0
"4",2019-12-04,"中国","湖北",1,0,0,0
"5",2019-12-05,"中国","湖北",1,0,0,0
"6",2019-12-06,"中国","湖北",1,0,0,0
"7",2019-12-07,"中国","湖北",1,0,0,0
"8",2019-12-08,"中国","湖北",1,0,0,0
"9",2019-12-09,"中国","湖北",1,0,0,0
"10",2019-12-10,"中国","湖北",1,0,0,0
"11",2019-12-11,"中国","湖北",4,0,0,0
"12",2019-12-12,"中国","湖北",4,0,0,0
"13",2019-12-13,"中国","湖北",4,0,0,0
"14",2019-12-14,"中国","湖北",4,0,0,0
"15",2019-12-15,"中国","湖北",6,0,0,0
"16",2019-12-16,"中国","湖北",6,0,0,0
"17",2019-12-17,"中国","湖北",7,0,0,0
"18",2019-12-18,"中国","湖北",8,0,0,0
"19",2019-12-19,"中国","湖北",9,0,0,0
"20",2019-12-20,"中国","湖北",14,0,0,0
"21",2019-12-21,"中国","湖北",18,0,0,0
"22",2019-12-22,"中国","湖北",21,0,0,0
"23",2019-12-23,"中国","湖北",29,0,0,0
"24",2019-12-24,"中国","湖北",30,0,0,0
"25",2019-12-25,"中国","湖北",33,0,0,0
"26",2019-12-26,"中国","湖北",35,0,0,0
"27",2019-12-27,"中国","湖北",37,0,0,0
"28",2019-12-28,"中国","湖北",37,0,0,0
"29",2019-12-29,"中国","湖北",37,0,0,0
"30",2019-12-30,"中国","湖北",37,0,0,0
"31",2019-12-31,"中国","湖北",40,0,0,0
"32",2020-01-01,"中国","湖北",43,0,0,0
"33",2020-01-02,"中国","湖北",44,0,0,0
"34",2020-01-03,"中国","湖北",44,0,0,0
"35",2020-01-04,"中国","湖北",44,0,0,0
"36",2020-01-05,"中国","湖北",44,0,0,0
"37",2020-01-06,"中国","湖北",44,0,0,0
"38",2020-01-07,"中国","湖北",44,0,0,0
"39",2020-01-08,"中国","湖北",44,0,0,0
"40",2020-01-09,"中国","湖北",44,0,0,0
"41",2020-01-10,"中国","湖北",44,2,1,0
"42",2020-01-11,"中国","湖北",44,6,1,0
"43",2020-01-12,"中国","湖北",44,7,1,0
"44",2020-01-13,"中国","湖北",44,7,1,0
"45",2020-01-14,"中国","湖北",44,7,1,0
"46",2020-01-15,"中国","湖北",44,12,2,0
"47",2020-01-16,"中国","湖北",45,15,2,0
"48",2020-01-17,"中国","湖北",62,19,2,0
"49",2020-01-18,"中国","湖北",121,24,3,0
"50",2020-01-19,"中国","广东",1,0,0,0
"51",2020-01-19,"中国","湖北",198,25,3,0
"52",2020-01-20,"中国","浙江",0,0,0,16
"53",2020-01-20,"中国","广东",14,0,0,7
"54",2020-01-20,"中国","四川",0,0,0,3
"55",2020-01-20,"中国","江西",0,0,0,2
"56",2020-01-20,"中国","云南",0,0,0,1
"57",2020-01-20,"中国","吉林",0,0,0,1
"58",2020-01-20,"中国","宁夏",0,0,0,1
"59",2020-01-20,"中国","安徽",0,0,0,1
"60",2020-01-20,"中国","山东",0,0,0,1
"61",2020-01-20,"中国","广西",0,0,0,1
"62",2020-01-20,"中国","海南",0,0,0,1
"63",2020-01-20,"中国","贵州",0,0,0,1
"64",2020-01-20,"中国","上海",1,0,0,0
"65",2020-01-20,"中国","北京",5,0,0,0
"66",2020-01-20,"中国","湖北",270,25,6,0
"67",2020-01-21,"中国","四川",2,0,0,5
"68",2020-01-21,"中国","上海",6,0,0,3
"69",2020-01-21,"中国","广西",0,0,0,2
"70",2020-01-21,"中国","吉林",0,0,0,1
"71",2020-01-21,"中国","宁夏",0,0,0,1
"72",2020-01-21,"中国","安徽",0,0,0,1
"73",2020-01-21,"中国","山西",0,0,0,1
"74",2020-01-21,"中国","海南",0,0,0,1
"75",2020-01-21,"中国","贵州",0,0,0,1
"76",2020-01-21,"中国","黑龙江",0,0,0,1
"77",2020-01-21,"中国","云南",1,0,0,0
"78",2020-01-21,"中国","北京",10,0,0,0
"79",2020-01-21,"中国","天津",2,0,0,0
"80",2020-01-21,"中国","山东",1,0,0,0
"81",2020-01-21,"中国","广东",26,0,0,0
"82",2020-01-21,"中国","江西",2,0,0,0
"83",2020-01-21,"中国","河南",1,0,0,0
"84",2020-01-21,"中国","浙江",5,0,0,0
"85",2020-01-21,"中国","湖北",375,28,9,0
"86",2020-01-21,"中国","湖南",1,0,0,0
"87",2020-01-21,"中国","重庆",5,0,0,0
"88",2020-01-22,"中国","海南",5,0,0,32
"89",2020-01-22,"中国","上海",16,0,0,22
"90",2020-01-22,"中国","安徽",1,0,0,4
"91",2020-01-22,"中国","四川",5,0,0,2
"92",2020-01-22,"中国","广西",2,0,0,1
"93",2020-01-22,"中国","北京",14,0,0,0
"94",2020-01-22,"中国","台湾",1,0,0,0
"95",2020-01-22,"中国","吉林",1,0,0,0
"96",2020-01-22,"中国","天津",4,0,0,0
"97",2020-01-22,"中国","宁夏",1,0,0,0
"98",2020-01-22,"中国","山东",6,0,0,0
"99",2020-01-22,"中国","山西",1,0,0,0
"100",2020-01-22,"中国","广东",32,0,0,0
"101",2020-01-22,"中国","江苏",1,0,0,0
"102",2020-01-22,"中国","江西",3,0,0,0
"103",2020-01-22,"中国","河北",1,0,0,0
"104",2020-01-22,"中国","河南",5,0,0,0
"105",2020-01-22,"中国","浙江",10,0,0,0
"106",2020-01-22,"中国","湖北",444,28,17,0
"107",2020-01-22,"中国","湖南",4,0,0,0
"108",2020-01-22,"中国","澳门",1,0,0,0
"109",2020-01-22,"中国","福建",1,0,0,0
"110",2020-01-22,"中国","贵州",3,0,0,0
"111",2020-01-22,"中国","辽宁",2,0,0,0
"112",2020-01-22,"中国","重庆",9,0,0,0
"113",2020-01-22,"中国","陕西",4,0,0,0
"114",2020-01-22,"中国","香港",1,0,0,0
"115",2020-01-22,"中国","黑龙江",1,0,0,0
"116",2020-01-23,"中国","上海",20,0,0,34
"117",2020-01-23,"中国","内蒙古",1,0,0,2
"118",2020-01-23,"中国","宁夏",2,0,0,1
"119",2020-01-23,"中国","甘肃",2,0,0,1
"120",2020-01-23,"中国","云南",2,0,0,0
"121",2020-01-23,"中国","北京",22,0,0,0
"122",2020-01-23,"中国","台湾",1,0,0,0
"123",2020-01-23,"中国","吉林",3,0,0,0
"124",2020-01-23,"中国","四川",15,0,0,0
"125",2020-01-23,"中国","天津",5,0,0,0
"126",2020-01-23,"中国","安徽",15,0,0,0
"127",2020-01-23,"中国","山东",9,0,0,0
"128",2020-01-23,"中国","山西",1,0,0,0
"129",2020-01-23,"中国","广东",53,2,0,0
"130",2020-01-23,"中国","广西",13,0,0,0
"131",2020-01-23,"中国","新疆",2,0,0,0
"132",2020-01-23,"中国","江苏",9,0,0,0
"133",2020-01-23,"中国","江西",7,0,0,0
"134",2020-01-23,"中国","河北",2,0,1,0
"135",2020-01-23,"中国","河南",9,0,0,0
"136",2020-01-23,"中国","浙江",43,1,0,0
"137",2020-01-23,"中国","海南",8,0,0,0
"138",2020-01-23,"中国","湖北",549,31,24,0
"139",2020-01-23,"中国","湖南",24,0,0,0
"140",2020-01-23,"中国","澳门",2,0,0,0
"141",2020-01-23,"中国","福建",4,0,0,0
"142",2020-01-23,"中国","贵州",3,0,0,0
"143",2020-01-23,"中国","辽宁",4,0,0,0
"144",2020-01-23,"中国","重庆",27,0,0,0
"145",2020-01-23,"中国","陕西",5,0,0,0
"146",2020-01-23,"中国","香港",2,0,0,0
"147",2020-01-23,"中国","黑龙江",4,0,1,0
"148",2020-01-24,"中国","上海",33,1,0,72
"149",2020-01-24,"中国","山东",21,0,0,11
"150",2020-01-24,"中国","内蒙古",2,0,0,5
"151",2020-01-24,"中国","福建",10,0,0,4
"152",2020-01-24,"中国","宁夏",3,0,0,1
"153",2020-01-24,"中国","河南",32,0,0,1
"154",2020-01-24,"中国","青海",0,0,0,1
"155",2020-01-24,"中国","云南",5,0,0,0
"156",2020-01-24,"中国","北京",36,0,0,0
"157",2020-01-24,"中国","台湾",3,0,0,0
"158",2020-01-24,"中国","吉林",4,0,0,0
"159",2020-01-24,"中国","四川",28,0,0,0
"160",2020-01-24,"中国","天津",8,0,0,0
"161",2020-01-24,"中国","安徽",39,0,0,0
"162",2020-01-24,"中国","山西",6,0,0,0
"163",2020-01-24,"中国","广东",78,2,0,0
"164",2020-01-24,"中国","广西",23,0,0,0
"165",2020-01-24,"中国","新疆",3,0,0,0
"166",2020-01-24,"中国","江苏",18,1,0,0
"167",2020-01-24,"中国","江西",18,0,0,0
"168",2020-01-24,"中国","河北",8,0,1,0
"169",2020-01-24,"中国","浙江",62,1,0,0
"170",2020-01-24,"中国","海南",17,0,0,0
"171",2020-01-24,"中国","湖北",729,32,39,0
"172",2020-01-24,"中国","湖南",43,0,0,0
"173",2020-01-24,"中国","澳门",2,0,0,0
"174",2020-01-24,"中国","甘肃",4,0,0,0
"175",2020-01-24,"中国","贵州",4,0,0,0
"176",2020-01-24,"中国","辽宁",12,0,0,0
"177",2020-01-24,"中国","重庆",57,0,0,0
"178",2020-01-24,"中国","陕西",15,0,0,0
"179",2020-01-24,"中国","香港",5,0,0,0
"180",2020-01-24,"中国","黑龙江",9,0,1,0
"181",2020-01-25,"中国","上海",40,1,1,95
"182",2020-01-25,"中国","福建",18,0,0,20
"183",2020-01-25,"中国","黑龙江",15,0,1,17
"184",2020-01-25,"中国","山东",39,0,0,11
"185",2020-01-25,"中国","河南",83,0,1,3
"186",2020-01-25,"中国","宁夏",4,0,0,1
"187",2020-01-25,"中国","云南",11,0,0,0
"188",2020-01-25,"中国","内蒙古",7,0,0,0
"189",2020-01-25,"中国","北京",41,0,0,0
"190",2020-01-25,"中国","台湾",3,0,0,0
"191",2020-01-25,"中国","吉林",4,0,0,0
"192",2020-01-25,"中国","四川",44,0,0,0
"193",2020-01-25,"中国","天津",10,0,0,0
"194",2020-01-25,"中国","安徽",60,0,0,0
"195",2020-01-25,"中国","山西",9,0,0,0
"196",2020-01-25,"中国","广东",98,2,0,0
"197",2020-01-25,"中国","广西",33,0,0,0
"198",2020-01-25,"中国","新疆",4,0,0,0
"199",2020-01-25,"中国","江苏",31,1,0,0
"200",2020-01-25,"中国","江西",36,0,0,0
"201",2020-01-25,"中国","河北",13,0,1,0
"202",2020-01-25,"中国","浙江",104,1,0,0
"203",2020-01-25,"中国","海南",22,0,0,0
"204",2020-01-25,"中国","湖北",1052,42,52,0
"205",2020-01-25,"中国","湖南",69,0,0,0
"206",2020-01-25,"中国","澳门",2,0,0,0
"207",2020-01-25,"中国","甘肃",7,0,0,0
"208",2020-01-25,"中国","贵州",5,0,0,0
"209",2020-01-25,"中国","辽宁",16,0,0,0
"210",2020-01-25,"中国","重庆",75,0,0,0
"211",2020-01-25,"中国","陕西",22,0,0,0
"212",2020-01-25,"中国","青海",1,0,0,0
"213",2020-01-25,"中国","香港",5,0,0,0
"214",2020-01-26,"中国","上海",53,1,1,90
"215",2020-01-26,"中国","黑龙江",21,0,1,48
"216",2020-01-26,"中国","福建",35,0,0,39
"217",2020-01-26,"中国","云南",19,0,0,36
"218",2020-01-26,"中国","山东",63,0,0,33
"219",2020-01-26,"中国","河南",128,0,1,18
"220",2020-01-26,"中国","河北",18,0,1,16
"221",2020-01-26,"中国","贵州",7,0,0,3
"222",2020-01-26,"中国","内蒙古",11,0,0,1
"223",2020-01-26,"中国","北京",68,0,0,0
"224",2020-01-26,"中国","台湾",4,0,0,0
"225",2020-01-26,"中国","吉林",6,0,0,0
"226",2020-01-26,"中国","四川",69,0,0,0
"227",2020-01-26,"中国","天津",14,0,0,0
"228",2020-01-26,"中国","宁夏",7,0,0,0
"229",2020-01-26,"中国","安徽",70,0,0,0
"230",2020-01-26,"中国","山西",13,0,0,0
"231",2020-01-26,"中国","广东",146,2,0,0
"232",2020-01-26,"中国","广西",46,0,0,0
"233",2020-01-26,"中国","新疆",5,0,0,0
"234",2020-01-26,"中国","江苏",47,1,0,0
"235",2020-01-26,"中国","江西",48,0,0,0
"236",2020-01-26,"中国","浙江",128,1,0,0
"237",2020-01-26,"中国","海南",31,0,1,0
"238",2020-01-26,"中国","湖北",1423,44,76,0
"239",2020-01-26,"中国","湖南",100,0,0,0
"240",2020-01-26,"中国","澳门",5,0,0,0
"241",2020-01-26,"中国","甘肃",14,0,0,0
"242",2020-01-26,"中国","辽宁",22,0,0,0
"243",2020-01-26,"中国","重庆",110,0,0,0
"244",2020-01-26,"中国","陕西",35,0,0,0
"245",2020-01-26,"中国","青海",4,0,0,0
"246",2020-01-26,"中国","香港",8,0,0,0
"247",2020-01-27,"中国","上海",66,3,1,129
"248",2020-01-27,"中国","云南",44,0,0,125
"249",2020-01-27,"中国","河南",168,0,1,100
"250",2020-01-27,"中国","黑龙江",30,0,1,67
"251",2020-01-27,"中国","河北",33,0,1,54
"252",2020-01-27,"中国","福建",59,0,0,46
"253",2020-01-27,"中国","山东",63,0,0,42
"254",2020-01-27,"中国","安徽",106,0,0,38
"255",2020-01-27,"中国","内蒙古",13,0,0,2
"256",2020-01-27,"中国","贵州",9,0,0,1
"257",2020-01-27,"中国","北京",80,2,1,0
"258",2020-01-27,"中国","台湾",5,0,0,0
"259",2020-01-27,"中国","吉林",8,0,0,0
"260",2020-01-27,"中国","四川",90,0,0,0
"261",2020-01-27,"中国","天津",23,0,0,0
"262",2020-01-27,"中国","宁夏",11,0,0,0
"263",2020-01-27,"中国","山西",20,0,0,0
"264",2020-01-27,"中国","广东",188,4,0,0
"265",2020-01-27,"中国","广西",51,0,0,0
"266",2020-01-27,"中国","新疆",10,0,0,0
"267",2020-01-27,"中国","江苏",70,1,0,0
"268",2020-01-27,"中国","江西",72,0,0,0
"269",2020-01-27,"中国","浙江",173,1,0,0
"270",2020-01-27,"中国","海南",40,0,1,0
"271",2020-01-27,"中国","湖北",2714,47,100,0
"272",2020-01-27,"中国","湖南",143,0,0,0
"273",2020-01-27,"中国","澳门",7,0,0,0
"274",2020-01-27,"中国","甘肃",19,0,0,0
"275",2020-01-27,"中国","辽宁",27,0,0,0
"276",2020-01-27,"中国","重庆",132,0,0,0
"277",2020-01-27,"中国","陕西",46,0,0,0
"278",2020-01-27,"中国","青海",6,0,0,0
"279",2020-01-27,"中国","香港",8,0,0,0
"280",2020-01-28,"中国","上海",80,4,1,167
"281",2020-01-28,"中国","云南",51,0,0,163
"282",2020-01-28,"中国","黑龙江",37,0,1,87
"283",2020-01-28,"中国","河南",206,1,2,78
"284",2020-01-28,"中国","福建",80,0,0,67
"285",2020-01-28,"中国","河北",48,0,1,56
"286",2020-01-28,"中国","山东",121,0,0,55
"287",2020-01-28,"中国","安徽",152,0,0,42
"288",2020-01-28,"中国","贵州",9,1,0,3
"289",2020-01-28,"中国","内蒙古",16,0,0,2
"290",2020-01-28,"中国","宁夏",12,0,0,2
"291",2020-01-28,"中国","西藏",0,0,0,1
"292",2020-01-28,"中国","北京",91,4,1,0
"293",2020-01-28,"中国","台湾",8,0,0,0
"294",2020-01-28,"中国","吉林",9,0,0,0
"295",2020-01-28,"中国","四川",108,0,0,0
"296",2020-01-28,"中国","天津",24,0,0,0
"297",2020-01-28,"中国","山西",27,0,0,0
"298",2020-01-28,"中国","广东",241,5,0,0
"299",2020-01-28,"中国","广西",58,2,0,0
"300",2020-01-28,"中国","新疆",13,0,0,0
"301",2020-01-28,"中国","江苏",99,1,0,0
"302",2020-01-28,"中国","江西",109,3,0,0
"303",2020-01-28,"中国","浙江",296,3,0,0
"304",2020-01-28,"中国","海南",43,0,1,0
"305",2020-01-28,"中国","湖北",3554,80,125,0
"306",2020-01-28,"中国","湖南",221,0,0,0
"307",2020-01-28,"中国","澳门",7,0,0,0
"308",2020-01-28,"中国","甘肃",24,0,0,0
"309",2020-01-28,"中国","辽宁",34,0,0,0
"310",2020-01-28,"中国","重庆",147,0,0,0
"311",2020-01-28,"中国","陕西",56,0,0,0
"312",2020-01-28,"中国","青海",6,0,0,0
"313",2020-01-28,"中国","香港",8,0,0,0
"314",2020-01-29,"中国","云南",70,0,0,191
"315",2020-01-29,"中国","上海",101,5,1,180
"316",2020-01-29,"中国","陕西",63,0,0,116
"317",2020-01-29,"中国","福建",101,0,0,111
"318",2020-01-29,"中国","黑龙江",43,0,1,105
"319",2020-01-29,"中国","山东",145,1,0,79
"320",2020-01-29,"中国","河北",65,0,1,68
"321",2020-01-29,"中国","安徽",200,2,0,45
"322",2020-01-29,"中国","河南",206,2,2,29
"323",2020-01-29,"中国","吉林",14,0,0,10
"324",2020-01-29,"中国","贵州",12,1,0,6
"325",2020-01-29,"中国","内蒙古",18,0,0,1
"326",2020-01-29,"中国","宁夏",17,0,0,1
"327",2020-01-29,"中国","青海",6,0,0,1
"328",2020-01-29,"中国","北京",114,4,1,0
"329",2020-01-29,"中国","台湾",8,0,0,0
"330",2020-01-29,"中国","四川",142,1,1,0
"331",2020-01-29,"中国","天津",27,0,0,0
"332",2020-01-29,"中国","山西",35,1,0,0
"333",2020-01-29,"中国","广东",311,6,0,0
"334",2020-01-29,"中国","广西",78,2,0,0
"335",2020-01-29,"中国","新疆",14,0,0,0
"336",2020-01-29,"中国","江苏",129,1,0,0
"337",2020-01-29,"中国","江西",162,3,0,0
"338",2020-01-29,"中国","浙江",428,4,0,0
"339",2020-01-29,"中国","海南",46,1,1,0
"340",2020-01-29,"中国","湖北",4586,90,162,0
"341",2020-01-29,"中国","湖南",277,0,0,0
"342",2020-01-29,"中国","澳门",7,0,0,0
"343",2020-01-29,"中国","甘肃",26,0,0,0
"344",2020-01-29,"中国","西藏",1,0,0,0
"345",2020-01-29,"中国","辽宁",41,1,0,0
"346",2020-01-29,"中国","重庆",165,1,0,0
"347",2020-01-29,"中国","香港",10,0,0,0
"348",2020-01-30,"中国","云南",80,0,0,236
"349",2020-01-30,"中国","上海",128,5,1,164
"350",2020-01-30,"中国","陕西",87,0,0,132
"351",2020-01-30,"中国","黑龙江",59,0,2,128
"352",2020-01-30,"中国","福建",120,0,0,116
"353",2020-01-30,"中国","山东",178,2,0,90
"354",2020-01-30,"中国","河北",82,0,1,78
"355",2020-01-30,"中国","安徽",237,3,0,70
"356",2020-01-30,"中国","贵州",15,1,0,61
"357",2020-01-30,"中国","吉林",14,1,0,10
"358",2020-01-30,"中国","河南",352,3,2,4
"359",2020-01-30,"中国","内蒙古",20,0,0,1
"360",2020-01-30,"中国","宁夏",21,0,0,1
"361",2020-01-30,"中国","北京",132,5,1,0
"362",2020-01-30,"中国","台湾",9,0,0,0
"363",2020-01-30,"中国","四川",177,1,1,0
"364",2020-01-30,"中国","天津",31,0,0,0
"365",2020-01-30,"中国","山西",39,1,0,0
"366",2020-01-30,"中国","广东",393,9,0,0
"367",2020-01-30,"中国","广西",87,2,0,0
"368",2020-01-30,"中国","新疆",17,0,0,0
"369",2020-01-30,"中国","江苏",168,2,0,0
"370",2020-01-30,"中国","江西",240,7,0,0
"371",2020-01-30,"中国","浙江",537,9,0,0
"372",2020-01-30,"中国","海南",49,1,1,0
"373",2020-01-30,"中国","湖北",5806,116,204,0
"374",2020-01-30,"中国","湖南",332,2,0,0
"375",2020-01-30,"中国","澳门",7,0,0,0
"376",2020-01-30,"中国","甘肃",29,0,0,0
"377",2020-01-30,"中国","西藏",1,0,0,0
"378",2020-01-30,"中国","辽宁",45,1,0,0
"379",2020-01-30,"中国","重庆",206,1,0,0
"380",2020-01-30,"中国","青海",8,0,0,0
"381",2020-01-30,"中国","香港",12,0,0,0
"382",2020-01-31,"中国","河南",422,3,2,751
"383",2020-01-31,"中国","云南",91,1,0,228
"384",2020-01-31,"中国","上海",153,9,1,167
"385",2020-01-31,"中国","陕西",101,0,0,158
"386",2020-01-31,"中国","黑龙江",80,0,2,149
"387",2020-01-31,"中国","福建",144,0,0,111
"388",2020-01-31,"中国","河北",96,0,1,88
"389",2020-01-31,"中国","山东",202,2,0,83
"390",2020-01-31,"中国","山西",47,1,0,75
"391",2020-01-31,"中国","贵州",29,2,0,67
"392",2020-01-31,"中国","吉林",17,1,0,10
"393",2020-01-31,"中国","内蒙古",23,1,0,5
"394",2020-01-31,"中国","宁夏",26,0,0,1
"395",2020-01-31,"中国","北京",156,5,1,0
"396",2020-01-31,"中国","台湾",10,0,0,0
"397",2020-01-31,"中国","四川",207,3,1,0
"398",2020-01-31,"中国","天津",32,0,0,0
"399",2020-01-31,"中国","安徽",297,3,0,0
"400",2020-01-31,"中国","广东",520,0,0,0
"401",2020-01-31,"中国","广西",100,2,0,0
"402",2020-01-31,"中国","新疆",18,0,0,0
"403",2020-01-31,"中国","江苏",202,5,0,0
"404",2020-01-31,"中国","江西",286,9,0,0
"405",2020-01-31,"中国","浙江",599,15,0,0
"406",2020-01-31,"中国","海南",57,1,1,0
"407",2020-01-31,"中国","湖北",7153,166,249,0
"408",2020-01-31,"中国","湖南",389,3,0,0
"409",2020-01-31,"中国","澳门",7,0,0,0
"410",2020-01-31,"中国","甘肃",35,0,0,0
"411",2020-01-31,"中国","西藏",1,0,0,0
"412",2020-01-31,"中国","辽宁",60,1,0,0
"413",2020-01-31,"中国","重庆",238,1,1,0
"414",2020-01-31,"中国","青海",9,0,0,0
"415",2020-01-31,"中国","香港",13,0,0,0
"416",2020-02-01,"中国","河南",493,4,2,754
"417",2020-02-01,"中国","云南",99,2,0,261
"418",2020-02-01,"中国","陕西",116,0,0,201
"419",2020-02-01,"中国","黑龙江",95,0,2,172
"420",2020-02-01,"中国","上海",177,10,1,168
"421",2020-02-01,"中国","河北",104,3,1,104
"422",2020-02-01,"中国","福建",159,0,0,99
"423",2020-02-01,"中国","山东",225,5,0,81
"424",2020-02-01,"中国","贵州",38,2,0,65
"425",2020-02-01,"中国","山西",56,1,0,64
"426",2020-02-01,"中国","吉林",23,1,0,14
"427",2020-02-01,"中国","宁夏",28,0,0,8
"428",2020-02-01,"中国","内蒙古",27,1,0,7
"429",2020-02-01,"中国","北京",183,9,1,0
"430",2020-02-01,"中国","台湾",10,0,0,0
"431",2020-02-01,"中国","四川",231,3,1,0
"432",2020-02-01,"中国","天津",41,0,0,0
"433",2020-02-01,"中国","安徽",340,5,0,0
"434",2020-02-01,"中国","广东",604,12,0,0
"435",2020-02-01,"中国","广西",111,2,0,0
"436",2020-02-01,"中国","新疆",21,0,0,0
"437",2020-02-01,"中国","江苏",236,6,0,0
"438",2020-02-01,"中国","江西",333,10,0,0
"439",2020-02-01,"中国","浙江",661,23,0,0
"440",2020-02-01,"中国","海南",63,1,1,0
"441",2020-02-01,"中国","湖北",9074,215,294,0
"442",2020-02-01,"中国","湖南",463,8,0,0
"443",2020-02-01,"中国","澳门",7,0,0,0
"444",2020-02-01,"中国","甘肃",40,0,0,0
"445",2020-02-01,"中国","西藏",1,0,0,0
"446",2020-02-01,"中国","辽宁",64,1,0,0
"447",2020-02-01,"中国","重庆",262,3,1,0
"448",2020-02-01,"中国","青海",9,0,0,0
"449",2020-02-01,"中国","香港",14,0,0,0
"450",2020-02-02,"中国","云南",109,3,0,252
"451",2020-02-02,"中国","陕西",128,0,0,205
"452",2020-02-02,"中国","上海",193,10,1,173
"453",2020-02-02,"中国","黑龙江",118,2,2,163
"454",2020-02-02,"中国","河北",113,3,1,108
"455",2020-02-02,"中国","福建",179,0,0,96
"456",2020-02-02,"中国","山西",66,2,0,64
"457",2020-02-02,"中国","山东",246,6,0,62
"458",2020-02-02,"中国","贵州",46,2,0,46
"459",2020-02-02,"中国","河南",566,14,2,26
"460",2020-02-02,"中国","吉林",31,1,0,17
"461",2020-02-02,"中国","宁夏",31,0,0,12
"462",2020-02-02,"中国","内蒙古",34,1,0,3
"463",2020-02-02,"中国","北京",212,12,1,0
"464",2020-02-02,"中国","台湾",10,0,0,0
"465",2020-02-02,"中国","四川",254,12,1,0
"466",2020-02-02,"中国","天津",48,1,0,0
"467",2020-02-02,"中国","安徽",408,7,0,0
"468",2020-02-02,"中国","广东",683,14,0,0
"469",2020-02-02,"中国","广西",127,2,0,0
"470",2020-02-02,"中国","新疆",24,0,0,0
"471",2020-02-02,"中国","江苏",271,7,0,0
"472",2020-02-02,"中国","江西",391,18,0,0
"473",2020-02-02,"中国","浙江",724,36,0,0
"474",2020-02-02,"中国","海南",70,4,1,0
"475",2020-02-02,"中国","湖北",11177,295,350,0
"476",2020-02-02,"中国","湖南",521,16,0,0
"477",2020-02-02,"中国","澳门",8,0,0,0
"478",2020-02-02,"中国","甘肃",51,3,0,0
"479",2020-02-02,"中国","西藏",1,0,0,0
"480",2020-02-02,"中国","辽宁",70,1,0,0
"481",2020-02-02,"中国","重庆",300,7,2,0
"482",2020-02-02,"中国","青海",13,0,0,0
"483",2020-02-02,"中国","香港",15,0,0,0
"484",2020-02-03,"中国","云南",117,5,0,225
"485",2020-02-03,"中国","陕西",142,1,0,221
"486",2020-02-03,"中国","广东",797,20,0,180
"487",2020-02-03,"中国","黑龙江",155,2,2,178
"488",2020-02-03,"中国","上海",208,10,1,168
"489",2020-02-03,"中国","河北",126,3,1,93
"490",2020-02-03,"中国","福建",194,1,0,87
"491",2020-02-03,"中国","山东",270,7,0,70
"492",2020-02-03,"中国","山西",74,2,0,62
"493",2020-02-03,"中国","河南",675,20,2,44
"494",2020-02-03,"中国","贵州",56,2,0,26
"495",2020-02-03,"中国","吉林",42,1,0,24
"496",2020-02-03,"中国","宁夏",34,0,0,18
"497",2020-02-03,"中国","甘肃",55,3,0,9
"498",2020-02-03,"中国","内蒙古",35,1,0,3
"499",2020-02-03,"中国","北京",228,23,1,0
"500",2020-02-03,"中国","台湾",10,0,0,0
"501",2020-02-03,"中国","四川",282,14,1,0
"502",2020-02-03,"中国","天津",60,1,0,0
"503",2020-02-03,"中国","安徽",480,14,0,0
"504",2020-02-03,"中国","广西",139,7,0,0
"505",2020-02-03,"中国","新疆",29,0,0,0
"506",2020-02-03,"中国","江苏",308,8,0,0
"507",2020-02-03,"中国","江西",476,19,0,0
"508",2020-02-03,"中国","浙江",829,48,0,0
"509",2020-02-03,"中国","海南",79,4,1,0
"510",2020-02-03,"中国","湖北",13522,396,414,0
"511",2020-02-03,"中国","湖南",593,22,0,0
"512",2020-02-03,"中国","澳门",8,0,0,0
"513",2020-02-03,"中国","西藏",1,0,0,0
"514",2020-02-03,"中国","辽宁",74,1,0,0
"515",2020-02-03,"中国","重庆",337,9,2,0
"516",2020-02-03,"中国","青海",15,0,0,0
"517",2020-02-03,"中国","香港",15,0,0,0
"518",2020-02-04,"中国","陕西",165,2,0,215
"519",2020-02-04,"中国","上海",233,12,1,194
"520",2020-02-04,"中国","黑龙江",190,4,2,184
"521",2020-02-04,"中国","云南",122,5,0,172
"522",2020-02-04,"中国","广东",870,32,0,136
"523",2020-02-04,"中国","河北",135,4,1,117
"524",2020-02-04,"中国","山东",298,13,0,94
"525",2020-02-04,"中国","福建",205,7,0,91
"526",2020-02-04,"中国","吉林",54,1,0,58
"527",2020-02-04,"中国","河南",764,41,2,52
"528",2020-02-04,"中国","山西",81,4,0,42
"529",2020-02-04,"中国","贵州",64,5,0,33
"530",2020-02-04,"中国","宁夏",34,0,0,24
"531",2020-02-04,"中国","甘肃",57,4,0,17
"532",2020-02-04,"中国","内蒙古",42,1,0,3
"533",2020-02-04,"中国","北京",253,24,1,0
"534",2020-02-04,"中国","台湾",11,0,0,0
"535",2020-02-04,"中国","四川",301,23,1,0
"536",2020-02-04,"中国","天津",67,2,0,0
"537",2020-02-04,"中国","安徽",530,20,0,0
"538",2020-02-04,"中国","广西",150,10,0,0
"539",2020-02-04,"中国","新疆",32,0,0,0
"540",2020-02-04,"中国","江苏",341,13,0,0
"541",2020-02-04,"中国","江西",548,27,0,0
"542",2020-02-04,"中国","浙江",895,63,0,0
